O X,O Y,net8 X,net8 Y,net3 X,net3 Y
1.144058171929245e-08,2.850557339116447,1.144058171929245e-08,3.56121639245116,1.144058171929245e-08,0
1.145591684080208e-08,2.28728052662134,1.145591684080208e-08,3.696524302335209,1.145591684080208e-08,0
1.146697506896322e-08,1.849610882325917,1.146697506896322e-08,3.785725807935116,1.146697506896322e-08,0
1.14740052190028e-08,1.570472235198015,1.14740052190028e-08,3.838910689099277,1.14740052190028e-08,0
1.14816788572902e-08,1.289470191184264,1.14816788572902e-08,3.893154586919344,1.14816788572902e-08,0
1.1487691585216e-08,1.094882554485862,1.1487691585216e-08,3.933127235617924,1.1487691585216e-08,0
1.149450202405773e-08,0.9027766452009558,1.149450202405773e-08,3.977136945900695,1.149450202405773e-08,0
1.150785242766196e-08,0.6074219685878558,1.150785242766196e-08,4.062294730774212,1.150785242766196e-08,0
1.152183519926818e-08,0.393693258702924,1.152183519926818e-08,4.15055945526592,1.152183519926818e-08,0
1.153242394873046e-08,0.2830228698778837,1.153242394873046e-08,4.216215713280108,1.153242394873046e-08,0
1.154265902073455e-08,0.2069584053135251,1.154265902073455e-08,4.278142432379211,1.154265902073455e-08,0
